# cycle-1 scoring table; cycle 2 is results-v2.tsv; post-merge smoke is the last row.
# Gate 2/3 + M6b results — V2.1 (evaluator scoring table)

Authority for every run: `candidate/SKILL.md` (sha256 `41e10ff4fe8fc326b44b6b9d1e38f91d87301a886f4148b06b39f0a2d36d3d6f`,
i.e. the V2.1 branch SKILL.md with `metadata.version: "2.0.2"`, before the release version bump).
Fixtures: `scenarios/<id>` (20 repos, frozen manifest `harness/scenario-manifest.json`).
Each scenario: 1 fresh reviewer, 1 authority snapshot, 1 fixture, 1 brief; reviewers never saw
expected-findings, the oracle, the rubric, or any other review skill.

Scoring rule: a run passes when every contractual expectation in
`evals/expected-findings.json` for that scenario holds (must_report / must_not_report /
must_exhibit / routing / verdict-as-defined-elsewhere). Severity-boundary and routing-tier
differences are recorded as variances and adjudicated in the M7 report, never silently waived.

record	scenario	contract	observed	result	note
gate2	review-workspace-01	must_report 4/4; must_not legacy; must_exhibit 4/4; verdict NEEDS_REVISION	CR-001 spec1 P1, CR-002 spec3 P1, CR-004 scope_creep P2, CR-006 weak_tests P2; legacy not reported; checklist+CHECKPOINT+A-J+verdict present; NEEDS_REVISION	PASS	extra finding CR-003 (format_invoice KeyError) allowed
gate2	review-branch-02	must_report 4/4; must_not legacy; must_exhibit base-ladder/merge-base/merge-safety	base resolved to main by the 3.2 ladder (user named main); merge-base delta reviewed; merge-safety answered; 4 findings; NEEDS_REVISION	PASS	no remote configured, fallback disclosed
gate2	review-nospec-03	must_report 2/2; may_report spec3/rounding; no invented requirement; A limited	CR-001 scope_creep P2, CR-004 weak_tests P2, CR-003 spec3-as-correctness P2, CR-002 rounding P2; A.1 LIMITED; no invented spec; verdict PASS	PASS	verdict differs from the invoice scenarios because no requirement source exists - contract explicitly allows
gate2	regress-upstream-trap-04	never use tracking upstream as merge target; main selected; full feature delta	fixture delta base resolved to main..feature-x; origin/feature-x as base yields 0 files and was rejected; 4 findings; NEEDS_REVISION	PASS	trap refused with runtime proof
gate2	regress-whole-repo-audit-05	must_report legacy + spec3; scan --preview; audit criteria; coverage disclosure	`ocr scan --preview` used for enumeration; CR-005 legacy.py pre-existing defect reported in AUDIT mode; CR-002 spec3 P1; coverage disclosed; NEEDS_REVISION	PASS	audit-mode diff-overlap exception exercised
gate2	regress-old-ocr-compat-06	retry without --format only after unknown-flag; scope preserved; compat disclosed	shim rejected --format as unknown flag, retry without it, scope identical, compatibility mode disclosed; 6 findings incl. 2 P1 spec gaps	PASS	fixture-planted review-env.sh absolute path also reported (P2)
gate2	regress-no-test-runner-07	native runner detection; no blind import; E/G limited; no false pass claim	pytest --version probed and absent; tests executed in /tmp copies only; A.3/G.2 LIMITED; Sufficiency LIMITED; no pass claim; verdict PASS	PASS	P2/P3 findings only
gate2	v2-pr-context-08	must_report spec1+spec3; provider base/head; PR body as context; two-pass R2	PR #42 metadata used for scope (main..feature); PR body read as best-available requirement source, claims still verified against code; two passes declared; 3 P1 + 3 P2; NEEDS_REVISION	PASS	offline PR fixture honoured
gate2	v2-r3-security-09	must_report injection + weak test; R3 reason; independent reread; E1+; no scanner needed	CR-001 P0 injection (E1+E3, payload actually executed), CR-003 P1 unsafe-test, CR-004 P2 test-not-collected; R3 with reason; 26 procedures; verdict FAILED	PASS	weak_security_test graded P1 where the catalog says P2 - verdict unchanged (P0 dominates)
gate2	v2-s3-integration-10	must_report crossfile + weak integration test; batches; integration pass; both sides; accounting	CR-001 producer/consumer drift with both sides cited and runtime KeyError, CR-002 P2 producer-only test, CR-003 P2 21-file noise; 24/24 files accounted; verdict FAILED	PASS (variance)	drift graded P0 where the catalog/spec say P1 -> verdict FAILED instead of NEEDS_REVISION; same weakness the catalog calls a P1, so no missed defect
